序号,招聘信息ID,企业名称,招聘岗位,招聘人数,工作经验,最低工资,最高工资,工作性质,工资结算方式,招聘信息发布时间,招聘信息更新时间,职位关键词,学历要求,企业类型,企业人数规模,企业所在行业,工作地点,工作地点省编码,工作地点市编码,工作地点区编码
1,1648527394191052802,众云网,售前技术支持,6,不限,12000,20000,2,1,2023-04-19 11:25,2023-04-19 11:22,互联网/软件,3,民营公司,150-500人,互联网/计算机软件,深圳市南山区粤海街道滨海社区海天一路19、17、18号软件产业基地4栋511,440000,440300,440305
2,1648527394191052801,众云网,数据安全高级经理,10,不限,16000,26000,2,1,2023-04-19 11:26,2023-04-19 11:22,互联网/软件,3,民营公司,150-500人,互联网/计算机软件,深圳市南山区粤海街道滨海社区海天一路19、17、18号软件产业基地4栋511,440000,440300,440305
3,1648527394191052800,众云网,数据安全项目经理,100,不限,15000,25000,2,1,2023-04-19 11:27,2023-04-19 11:22,互联网/软件,3,民营公司,150-500人,互联网/计算机软件,深圳市南山区粤海街道滨海社区海天一路19、17、18号软件产业基地4栋511,440000,440300,440305
4,1648165203084447745,森羽网络,数据挖掘工程师,5,不限,5000,8000,2,1,2023-04-18 11:35,2023-04-18 11:23,互联网/大数据,3,民营公司,50-100人,互联网,山东省济宁市高新区洸河街道百丰大厦803,370000,370800,370811
5,1648165203084447744,森羽网络,数据管理,6,不限,3500,6000,2,1,,2023-04-18 11:23,互联网/大数据,3,民营公司,50-100人,互联网,山东省济宁市高新区洸河街道百丰大厦803,370000,370800,370811
6,1648165203080253441,森羽网络,算法工程师,10,不限,5000,8000,2,1,,2023-04-18 11:23,互联网/大数据,3,民营公司,50-100人,互联网,山东省济宁市高新区洸河街道百丰大厦803,370000,370800,370811
7,1648165203080253440,森羽网络,数据标注员,100,不限,2500,7000,2,1,2023-04-18 11:34,2023-04-18 11:23,互联网/大数据,2,民营公司,50-100人,互联网,山东省济宁市高新区洸河街道百丰大厦803,370000,370800,370811
8,1631112859985510400,海柔创新科技,会计实习生,2,不限,3500,7000,2,1,,2023-03-02 10:03,互联网/人工智能,2,合资,150-500人,电子商务/互联网,广东省深圳市宝安区西乡街道南昌社区固戍二路99号(南昌第二工业区东区),440000,440300,440306
9,1631112859897430016,海柔创新科技,技术服务工程师,5,不限,5000,10000,2,1,,2023-03-02 10:03,互联网/人工智能,2,合资,150-500人,电子商务/互联网,广东省深圳市宝安区西乡街道南昌社区固戍二路99号(南昌第二工业区东区),440000,440300,440306
10,1629824814967554048,太普软件,大数据分析师（BI）,1,不限,4500,7000,2,1,,2023-02-26 20:44,互联网/软件,3,民营公司,50-100人,互联网/软件,广州市天河区高普路1023号1楼101室自编23号,440000,440100,440106
